index,axis-0,axis-1,axis-2
0.0,1.0,313.0,821.0
1.0,1.0,315.0,812.0
2.0,1.0,319.0,786.0
3.0,1.0,321.0,805.0
4.0,1.0,321.0,838.0
5.0,1.0,326.0,735.0
6.0,1.0,329.0,781.0
7.0,1.0,330.0,767.0
8.0,1.0,333.0,815.0
9.0,1.0,334.0,751.0
10.0,1.0,335.0,822.0
11.0,1.0,338.0,739.0
12.0,1.0,338.0,801.0
13.0,1.0,349.0,698.0
14.0,1.0,354.0,792.0
15.0,1.0,364.0,789.0
16.0,1.0,365.0,800.0
17.0,1.0,366.0,774.0
18.0,1.0,367.0,708.0
19.0,1.0,368.0,807.0
20.0,1.0,368.0,855.0
21.0,1.0,369.0,822.0
22.0,1.0,370.0,871.0
23.0,1.0,373.0,798.0
24.0,1.0,373.0,865.0
25.0,1.0,375.0,684.0
26.0,1.0,377.0,691.0
27.0,1.0,384.0,663.0
28.0,1.0,387.0,713.0
29.0,1.0,391.0,680.0
30.0,1.0,393.0,861.0
31.0,1.0,394.0,711.0
32.0,1.0,399.0,836.0
33.0,1.0,400.0,677.0
34.0,1.0,403.0,857.0
35.0,1.0,405.0,831.0
36.0,1.0,406.0,656.0
37.0,1.0,408.0,839.0
38.0,1.0,410.0,669.0
39.0,1.0,417.0,668.0
40.0,1.0,418.0,673.0
41.0,1.0,420.0,666.0
42.0,1.0,464.0,682.0
43.0,1.0,467.0,688.0
44.0,1.0,600.0,871.0
45.0,1.0,607.0,916.0
46.0,1.0,635.0,924.0
47.0,1.0,752.0,790.0
48.0,2.0,303.0,759.0
49.0,2.0,303.0,783.0
50.0,2.0,306.0,739.0
51.0,2.0,307.0,773.0
52.0,2.0,307.0,814.0
53.0,2.0,308.0,799.0
54.0,2.0,313.0,749.0
55.0,2.0,316.0,800.0
56.0,2.0,318.0,725.0
57.0,2.0,318.0,772.0
58.0,2.0,320.0,734.0
59.0,2.0,321.0,714.0
60.0,2.0,322.0,849.0
61.0,2.0,324.0,827.0
62.0,2.0,326.0,800.0
63.0,2.0,330.0,792.0
64.0,2.0,331.0,705.0
65.0,2.0,331.0,717.0
66.0,2.0,331.0,745.0
67.0,2.0,332.0,723.0
68.0,2.0,333.0,861.0
69.0,2.0,335.0,772.0
70.0,2.0,335.0,784.0
71.0,2.0,338.0,713.0
72.0,2.0,341.0,858.0
73.0,2.0,342.0,702.0
74.0,2.0,342.0,729.0
75.0,2.0,342.0,862.0
76.0,2.0,343.0,795.0
77.0,2.0,344.0,696.0
78.0,2.0,344.0,757.0
79.0,2.0,344.0,814.0
80.0,2.0,346.0,778.0
81.0,2.0,347.0,786.0
82.0,2.0,347.0,852.0
83.0,2.0,347.0,873.0
84.0,2.0,348.0,706.0
85.0,2.0,349.0,748.0
86.0,2.0,351.0,863.0
87.0,2.0,352.0,770.0
88.0,2.0,352.0,824.0
89.0,2.0,353.0,711.0
90.0,2.0,353.0,727.0
91.0,2.0,354.0,835.0
92.0,2.0,355.0,813.0
93.0,2.0,357.0,802.0
94.0,2.0,357.0,870.0
95.0,2.0,359.0,739.0
96.0,2.0,360.0,763.0
97.0,2.0,360.0,837.0
98.0,2.0,360.0,892.0
99.0,2.0,361.0,686.0
100.0,2.0,361.0,853.0
